"Date","Freq","moving.average.7.day"
2020-05-21,10,24.4285714285714
2020-05-22,8,21.4285714285714
2020-05-23,27,21.4285714285714
2020-05-24,51,25
2020-05-25,23,23.7142857142857
2020-05-26,14,30.4285714285714
2020-05-27,42,30.7142857142857
2020-05-28,1,26.8571428571429
2020-05-29,55,26.4285714285714
2020-05-30,29,27.7142857142857
2020-05-31,24,25.1428571428571
2020-06-01,20,31.7142857142857
2020-06-02,23,30.5714285714286
2020-06-03,24,27.1428571428571
2020-06-04,47,25.7142857142857
2020-06-05,47,26.8571428571429
2020-06-06,5,24.7142857142857
2020-06-07,14,24.7142857142857
2020-06-08,28,31.2857142857143
2020-06-09,8,28.7142857142857
2020-06-10,24,31.8571428571429
2020-06-11,93,34.8571428571429
2020-06-12,29,38.7142857142857
2020-06-13,27,43.7142857142857
2020-06-14,35,40.7142857142857
2020-06-15,55,30.8571428571429
2020-06-16,43,28.4285714285714
2020-06-17,3,24.7142857142857
2020-06-18,24,19.8571428571429
2020-06-19,12,12.4285714285714
2020-06-20,1,8.57142857142857
2020-06-21,1,11
2020-06-22,3,9.85714285714286
2020-06-23,16,13.1428571428571
2020-06-24,20,21.1428571428571
2020-06-25,16,29
2020-06-26,35,45.4285714285714
2020-06-27,57,57.5714285714286
2020-06-28,56,62.7142857142857
2020-06-29,118,63.1428571428571
2020-06-30,101,66.8571428571429
2020-07-01,56,69.4285714285714
2020-07-02,19,65.5714285714286
2020-07-03,61,57.2857142857143
2020-07-04,75,52.5714285714286
2020-07-05,29,53
2020-07-06,60,56.7142857142857
2020-07-07,68,57
2020-07-08,59,58.1428571428571
2020-07-09,45,57.8571428571429
2020-07-10,63,61.8571428571429
2020-07-11,83,61.5714285714286
2020-07-12,27,59.1428571428571
2020-07-13,88,55.1428571428571
2020-07-14,66,47.8571428571429
2020-07-15,42,36.1428571428571
2020-07-16,17,33.2857142857143
2020-07-17,12,24
2020-07-18,1,18
2020-07-19,7,17.8571428571429
2020-07-20,23,24.4285714285714
2020-07-21,24,38.1428571428571
2020-07-22,41,52.8571428571429
2020-07-23,63,62.7142857142857
2020-07-24,108,73.1428571428571
2020-07-25,104,80.5714285714286
2020-07-26,76,82
2020-07-27,96,89.7142857142857
2020-07-28,76,109.714285714286
2020-07-29,51,136.285714285714
2020-07-30,117,147.857142857143
2020-07-31,248,164.142857142857
2020-08-01,290,188
2020-08-02,157,218
2020-08-03,210,232.142857142857
2020-08-04,243,227.571428571429
2020-08-05,261,216.142857142857
2020-08-06,216,231
2020-08-07,216,243
2020-08-08,210,257.285714285714
2020-08-09,261,266.285714285714
2020-08-10,294,287.428571428571
2020-08-11,343,304.142857142857
2020-08-12,324,332.571428571429
2020-08-13,364,349.857142857143
2020-08-14,333,369
2020-08-15,409,383
2020-08-16,382,382.714285714286
2020-08-17,428,380.285714285714
2020-08-18,441,383.857142857143
2020-08-19,322,376
2020-08-20,347,376
2020-08-21,358,361
2020-08-22,354,327.857142857143
2020-08-23,382,311.428571428571
2020-08-24,323,300.428571428571
2020-08-25,209,288.285714285714
2020-08-26,207,265.428571428571
